,0,1,2,3,4,5,6,7
206,123,문화촌 공원,운영중,20,5,서울특별시 서대문구 홍제동 277-23 277-23,37.59432983,126.94738770
207,1230,송파중학교 정문,운영중,10,2,서울특별시 송파구 동남로 203 송파구 가락동 195-1,37.49567032,127.13059235
208,1231,잠실역 6번출구,운영중,10,0,서울특별시 송파구 석촌호수로12길 3-5 송파구 잠실동 31,37.51408768,127.09902954
209,1232,롯데마트 주차장 옆,운영중,10,0,서울특별시 송파구 석촌호수로12길 3-19 송파구 잠실동 39,37.51208878,127.09619141
210,1233,잠실3거리(갤러리아팰리스),운영중,9,0,서울특별시 송파구 석촌호수로12길 3-17 송파구 잠실동 38,37.51050949,127.09336853
211,1235,잠실트리지움310동 옆,운영중,15,4,서울특별시 송파구 잠실로 62 송파구 잠실동 36-1,37.50887299,127.08716583
212,1239,문정 법조단지3,운영중,20,0,서울특별시 송파구 정의로 30 송파구 문정동 396-3,37.48084259,127.11801147
213,124,서강대 정문 건너편,운영중,20,1,서울특별시 마포구 서강로16길 72 84-5,37.55113983,126.93698883
214,1240,문정 법조단지4,운영중,10,0,서울특별시 송파구 새말로 62 송파구 문정동 305-24,37.48057556,127.11856842
215,1241,문정 법조단지5,운영중,15,2,서울특별시 송파구 새말로 62 송파구 문정동 398-5,37.48123932,127.11979675
216,1242,문정 법조단지6,운영중,15,0,서울특별시 송파구 법원로 101 송파구 문정동 361-1,37.48209000,127.11974335
217,1243,문정 법조단지7,운영중,20,1,서울특별시 송파구 법원로 101 문정동 346-2,37.48453140,127.12016296
218,1244,문정 법조단지8,운영중,7,1,서울특별시 송파구 법원로 101 문정동 619,37.48153687,127.12212372
219,1245,문정 법조단지9,운영중,10,1,서울특별시 송파구 법원로 101 문정동 619,37.47946548,127.12532806
220,1246,문정 법조단지10,운영중,30,0,서울특별시 송파구 송파대로 지하 82 장지동 201-5,37.47750854,127.12632751
